
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
110664: Santa Clara;Total;H;2021;11013;1922;5017;2039;1302;1676;2002;108;1964;17;109;1231;517;90;
;;M;2021;12632;2206;5551;2488;1281;1782;2181;96;2598;7;130;1761;610;90;
;Menos de 15 anos;H;2021;2306;1499;807;411;349;47;0;0;0;0;0;0;0;0;
;;M;2021;2156;1373;783;370;359;54;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;691;12;486;40;108;338;192;0;1;1;0;0;0;0;
;;M;2021;703;12;503;43;114;346;188;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;727;13;277;30;84;163;339;10;88;2;0;72;14;0;
;;M;2021;761;11;212;45;62;105;368;12;158;3;0;132;23;0;
;25 - 29 anos;H;2021;698;15;218;35;61;122;226;23;216;5;0;120;90;1;
;;M;2021;793;25;235;39;61;135;241;19;273;2;0;144;125;2;
;30 - 34 anos;H;2021;766;24;250;49;68;133;209;20;263;1;1;134;119;8;
;;M;2021;836;38;247;55;51;141;202;16;333;0;1;186;137;9;
;35 - 39 anos;H;2021;781;28;279;58;83;138;186;15;273;5;13;158;90;7;
;;M;2021;893;39;297;55;76;166;188;10;359;1;6;234;106;12;
;40 - 44 anos;H;2021;869;26;340;88;93;159;195;18;290;3;12;196;66;13;
;;M;2021;974;49;273;56;77;140;224;13;415;1;12;305;76;21;
;45 - 49 anos;H;2021;814;35;322;85;112;125;189;9;259;0;17;181;44;17;
;;M;2021;938;51;306;96;91;119;203;15;363;0;20;275;51;17;
;50 - 54 anos;H;2021;709;40;351;133;95;123;149;12;157;0;12;105;32;8;
;;M;2021;810;61;381;149;109;123;150;11;207;0;23;147;23;14;
;55 - 59 anos;H;2021;573;35;323;163;85;75;105;1;109;0;12;59;25;13;
;;M;2021;753;66;411;200;101;110;137;0;139;0;11;94;28;6;
;60 - 64 anos;H;2021;537;53;305;182;55;68;81;0;98;0;11;69;9;9;
;;M;2021;686;62;398;245;66;87;108;0;118;0;10;79;23;6;
;65 - 69 anos;H;2021;475;48;295;214;29;52;55;0;77;0;11;46;15;5;
;;M;2021;628;71;395;275;38;82;76;0;86;0;12;65;7;2;
;70 - 74 anos;H;2021;417;25;292;207;34;51;34;0;66;0;7;49;5;5;
;;M;2021;560;53;385;278;35;72;42;0;80;0;11;62;7;0;
;75 ou mais anos;H;2021;650;69;472;344;46;82;42;0;67;0;13;42;8;4;
;;M;2021;1141;295;725;582;41;102;54;0;67;0;24;38;4;1;
110665: Santa Maria Maior;Total;H;2021;5623;748;2093;764;471;858;1381;65;1336;8;116;742;389;81;
;;M;2021;4428;601;1742;907;304;531;827;34;1224;2;80;722;356;64;
;Menos de 15 anos;H;2021;490;323;167;65;91;11;0;0;0;0;0;0;0;0;
;;M;2021;385;267;118;47;59;12;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;151;2;90;1;16;73;59;0;0;0;0;0;0;0;
;;M;2021;136;2;82;1;7;74;51;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;330;27;79;6;16;57;173;2;49;3;0;34;12;0;
;;M;2021;236;14;35;2;6;27;117;1;69;0;0;59;10;0;
;25 - 29 anos;H;2021;651;72;158;31;27;100;215;17;189;1;0;117;70;1;
;;M;2021;373;20;51;2;12;37;104;5;193;0;0;121;71;1;
;30 - 34 anos;H;2021;778;102;209;53;42;114;207;18;242;2;7;144;84;5;
;;M;2021;339;29;44;5;8;31;87;7;172;0;1;94;73;4;
;35 - 39 anos;H;2021;695;64;211;45;55;111;210;11;199;1;40;86;61;11;
;;M;2021;314;22;54;10;9;35;62;9;167;1;8;90;59;9;
;40 - 44 anos;H;2021;501;42;143;42;34;67;154;9;153;1;18;88;38;8;
;;M;2021;297;11;58;8;13;37;69;6;153;0;14;81;45;13;
;45 - 49 anos;H;2021;407;23;134;20;34;80;99;7;144;0;16;78;36;14;
;;M;2021;290;13;61;11;21;29;71;2;143;0;12;80;42;9;
;50 - 54 anos;H;2021;308;16;125;33;34;58;68;0;99;0;7;56;30;6;
;;M;2021;249;12;83;28;25;30;52;4;98;0;8;65;18;7;
;55 - 59 anos;H;2021;294;12;139;58;35;46;50;1;92;0;15;45;21;11;
;;M;2021;280;13;133;52;37;44;55;0;79;0;14;42;16;7;
;60 - 64 anos;H;2021;240;14;108;50;25;33;61;0;57;0;2;31;17;7;
;;M;2021;280;13;155;77;33;45;62;0;50;0;4;31;9;6;
;65 - 69 anos;H;2021;237;13;146;94;24;28;39;0;39;0;4;20;10;5;
;;M;2021;239;19;144;98;20;26;34;0;42;0;6;25;8;3;
;70 - 74 anos;H;2021;196;12;130;80;13;37;18;0;36;0;4;20;3;9;
;;M;2021;247;17;188;135;19;34;18;0;24;0;4;15;3;2;
;75 ou mais anos;H;2021;345;26;254;186;25;43;28;0;37;0;3;23;7;4;
;;M;2021;763;149;536;431;35;70;45;0;33;0;9;19;2;3;
110666: Santo António;Total;H;2021;5313;602;1223;400;308;515;1061;48;2379;12;149;1346;721;151;
;;M;2021;5747;619;1489;620;264;605;962;33;2644;3;171;1543;788;139;
;Menos de 15 anos;H;2021;701;452;249;100;132;17;0;0;0;0;0;0;0;0;
;;M;2021;605;393;212;77;110;25;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;232;0;134;2;15;117;98;0;0;0;0;0;0;0;
;;M;2021;247;1;147;0;16;131;99;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;280;3;27;0;2;25;146;2;102;1;0;83;18;0;
;;M;2021;304;7;15;1;4;10;139;3;140;0;0;105;35;0;
;25 - 29 anos;H;2021;450;9;37;1;6;30;115;9;280;3;0;161;115;1;
;;M;2021;427;11;28;2;2;24;71;6;311;1;0;147;162;1;
;30 - 34 anos;H;2021;506;17;41;3;10;28;105;11;332;3;2;157;164;6;
;;M;2021;422;11;14;0;0;14;55;8;334;2;2;138;186;6;
;35 - 39 anos;H;2021;431;10;40;3;6;31;89;10;282;4;23;137;106;12;
;;M;2021;391;5;21;1;5;15;65;8;292;0;15;137;126;14;
;40 - 44 anos;H;2021;443;14;44;6;8;30;95;5;285;1;26;157;83;18;
;;M;2021;412;12;30;6;5;19;50;4;316;0;7;211;76;22;
;45 - 49 anos;H;2021;407;13;46;7;10;29;87;8;253;0;22;151;68;12;
;;M;2021;412;7;37;9;8;20;62;1;305;0;17;192;70;26;
;50 - 54 anos;H;2021;324;10;57;8;25;24;59;2;196;0;16;110;52;18;
;;M;2021;364;7;46;8;15;23;76;3;232;0;23;149;41;19;
;55 - 59 anos;H;2021;336;13;69;16;20;33;83;1;170;0;17;95;35;23;
;;M;2021;376;13;72;27;19;26;84;0;207;0;23;144;28;12;
;60 - 64 anos;H;2021;280;12;71;32;15;24;54;0;143;0;12;85;28;18;
;;M;2021;331;16;97;32;14;51;67;0;151;0;20;95;28;8;
;65 - 69 anos;H;2021;247;13;79;39;19;21;44;0;111;0;12;59;27;13;
;;M;2021;311;12;105;60;14;31;69;0;125;0;21;74;18;12;
;70 - 74 anos;H;2021;243;11;106;57;13;36;33;0;93;0;10;57;14;12;
;;M;2021;270;13;136;80;10;46;34;0;87;0;13;58;5;11;
;75 ou mais anos;H;2021;433;25;223;126;27;70;53;0;132;0;9;94;11;18;
;;M;2021;875;111;529;317;42;170;91;0;144;0;30;93;13;8;
110639: São Domingos de Benfica;Total;H;2021;15423;1536;3697;1107;847;1743;2928;140;7122;21;406;4363;1944;388;
;;M;2021;18653;1742;4804;1873;883;2048;3065;66;8976;6;619;5582;2406;363;
;Menos de 15 anos;H;2021;2064;1308;756;294;419;43;0;0;0;0;0;0;0;0;
;;M;2021;1993;1299;694;281;367;46;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;816;3;519;3;47;469;294;0;0;0;0;0;0;0;
;;M;2021;780;3;471;2;47;422;305;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;915;10;80;1;12;67;445;17;363;6;0;277;80;0;
;;M;2021;952;10;59;3;7;49;444;4;435;1;0;320;114;0;
;25 - 29 anos;H;2021;1142;13;61;3;12;46;266;26;776;3;0;342;423;8;
;;M;2021;1213;10;50;2;9;39;164;8;981;1;0;412;565;3;
;30 - 34 anos;H;2021;1061;18;74;4;10;60;184;23;762;8;8;311;416;19;
;;M;2021;1147;18;43;1;6;36;130;8;948;2;5;358;551;32;
;35 - 39 anos;H;2021;983;14;87;2;20;65;173;17;692;4;21;364;264;39;
;;M;2021;1057;19;62;5;13;44;146;13;817;1;21;460;298;37;
;40 - 44 anos;H;2021;1139;10;124;16;30;78;218;23;764;0;32;509;183;40;
;;M;2021;1240;18;75;8;15;52;167;4;976;0;32;669;224;51;
;45 - 49 anos;H;2021;1062;13;121;15;25;81;203;19;706;0;48;481;146;31;
;;M;2021;1275;7;116;15;30;71;198;15;939;0;43;674;185;37;
;50 - 54 anos;H;2021;973;19;161;21;41;99;229;12;552;0;46;344;121;41;
;;M;2021;1228;20;159;35;42;82;242;11;796;0;60;555;137;44;
;55 - 59 anos;H;2021;929;15;210;53;57;100;211;3;490;0;49;298;96;47;
;;M;2021;1154;22;204;73;47;84;232;3;693;0;57;471;116;49;
;60 - 64 anos;H;2021;843;20;176;64;38;74;186;0;461;0;42;288;90;41;
;;M;2021;1114;23;252;102;41;109;249;0;590;0;69;404;86;31;
;65 - 69 anos;H;2021;809;13;213;111;26;76;144;0;439;0;46;309;51;33;
;;M;2021;1149;29;368;175;42;151;239;0;513;0;65;372;52;24;
;70 - 74 anos;H;2021;834;20;293;111;33;149;122;0;399;0;34;303;38;24;
;;M;2021;1333;40;550;208;43;299;217;0;526;0;90;365;41;30;
;75 ou mais anos;H;2021;1853;60;822;409;77;336;253;0;718;0;80;537;36;65;
;;M;2021;3018;224;1701;963;174;564;332;0;761;0;177;522;37;25;
110667: São Vicente;Total;H;2021;6635;740;2341;839;539;963;1590;83;1881;23;131;1088;539;100;
;;M;2021;7321;809;2735;1369;476;890;1385;74;2318;10;147;1348;700;113;
;Menos de 15 anos;H;2021;752;488;264;101;151;12;0;0;0;0;0;0;0;0;
;;M;2021;681;430;251;98;135;18;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;247;3;172;2;43;127;71;1;0;0;0;0;0;0;
;;M;2021;222;3;138;1;17;120;80;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;365;15;63;4;14;45;193;7;87;3;0;67;17;0;
;;M;2021;328;7;56;3;10;43;168;9;88;1;0;73;14;0;
;25 - 29 anos;H;2021;579;29;89;3;16;70;200;12;249;6;0;152;89;2;
;;M;2021;585;20;66;3;14;49;141;15;343;4;0;193;144;2;
;30 - 34 anos;H;2021;719;36;78;4;18;56;213;12;380;9;10;203;155;3;
;;M;2021;638;21;50;2;10;38;122;18;427;2;4;212;199;10;
;35 - 39 anos;H;2021;617;35;113;13;22;78;164;20;285;5;24;129;110;17;
;;M;2021;576;12;77;7;14;56;135;13;339;2;15;171;128;23;
;40 - 44 anos;H;2021;585;28;135;7;35;93;168;12;242;0;26;147;57;12;
;;M;2021;529;14;88;14;20;54;134;5;288;0;11;185;68;24;
;45 - 49 anos;H;2021;482;15;138;23;33;82;131;13;185;0;22;112;40;11;
;;M;2021;491;13;94;18;20;56;122;7;255;0;27;148;61;19;
;50 - 54 anos;H;2021;431;17;155;30;49;76;127;4;128;0;16;78;23;11;
;;M;2021;431;9;134;27;40;67;113;5;170;0;21;110;32;7;
;55 - 59 anos;H;2021;333;8;144;41;41;62;94;2;85;0;6;42;18;19;
;;M;2021;386;14;154;51;42;61;96;2;120;0;14;80;20;6;
;60 - 64 anos;H;2021;294;9;145;65;26;54;84;0;56;0;6;31;13;6;
;;M;2021;375;11;172;85;37;50;105;0;87;0;11;52;18;6;
;65 - 69 anos;H;2021;313;10;173;100;29;44;61;0;69;0;6;44;8;11;
;;M;2021;368;18;202;128;29;45;69;0;79;0;12;49;7;11;
;70 - 74 anos;H;2021;257;7;180;107;23;50;31;0;39;0;4;28;4;3;
;;M;2021;448;31;320;221;25;74;43;0;54;0;13;32;7;2;
;75 ou mais anos;H;2021;661;40;492;339;39;114;53;0;76;0;11;55;5;5;
;;M;2021;1263;206;933;711;63;159;57;0;67;0;19;43;2;3;
1107: Loures;Total;H;2021;95120;12124;45021;16698;10669;17654;22218;1356;14401;218;1064;9769;2962;388;
;;M;2021;106470;14428;46547;21233;9475;15839;23193;1016;21286;93;1476;15198;4118;401;
;Menos de 15 anos;H;2021;15306;9676;5630;2398;2860;372;0;0;0;0;0;0;0;0;
;;M;2021;14317;9044;5273;2239;2644;390;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;5494;43;3782;34;673;3075;1655;8;6;6;0;0;0;0;
;;M;2021;5158;28;3314;37;483;2794;1809;3;4;4;0;0;0;0;
;20 - 24 anos;H;2021;5569;80;1257;51;204;1002;3120;135;977;50;0;785;142;0;
;;M;2021;5511;81;858;52;122;684;3024;100;1448;38;0;1208;201;1;
;25 - 29 anos;H;2021;5679;130;1353;80;235;1038;2283;218;1695;53;0;1031;603;8;
;;M;2021;5874;129;999;50;193;756;2135;180;2431;15;0;1548;855;13;
;30 - 34 anos;H;2021;5928;126;1534;106;314;1114;2231;229;1808;53;16;1070;638;31;
;;M;2021;6294;147;1268;95;250;923;1984;162;2733;15;14;1639;1032;33;
;35 - 39 anos;H;2021;6506;112;1976;138;416;1422;2253;255;1910;49;93;1202;516;50;
;;M;2021;7097;176;1558;119;351;1088;2143;168;3052;10;120;2141;717;64;
;40 - 44 anos;H;2021;7227;136;2419;232;648;1539;2333;227;2112;7;158;1565;318;64;
;;M;2021;7934;191;1889;247;444;1198;2465;162;3227;11;157;2511;472;76;
;45 - 49 anos;H;2021;7146;135;2921;429;907;1585;2312;150;1628;0;150;1203;233;42;
;;M;2021;8145;203;2528;460;723;1345;2536;140;2738;0;233;2125;311;69;
;50 - 54 anos;H;2021;6357;145;3250;682;1138;1430;1711;113;1138;0;130;778;188;42;
;;M;2021;7098;231;3051;788;971;1292;2054;92;1670;0;202;1242;182;44;
;55 - 59 anos;H;2021;5703;166;3331;1060;1010;1261;1426;21;759;0;93;516;114;36;
;;M;2021;6819;276;3589;1294;927;1368;1784;9;1161;0;133;860;136;32;
;60 - 64 anos;H;2021;5412;234;3377;1469;814;1094;1169;0;632;0;91;426;84;31;
;;M;2021;6710;359;4010;1947;877;1186;1413;0;928;0;135;686;89;18;
;65 - 69 anos;H;2021;5167;244;3570;2288;508;774;775;0;578;0;111;388;52;27;
;;M;2021;6515;448;4487;2954;548;985;884;0;696;0;128;488;61;19;
;70 - 74 anos;H;2021;4972;244;3797;2577;409;811;420;0;511;0;87;355;38;31;
;;M;2021;6326;419;4837;3584;409;844;468;0;602;0;148;398;36;20;
;75 ou mais anos;H;2021;8654;653;6824;5154;533;1137;530;0;647;0;135;450;36;26;
;;M;2021;12672;2696;8886;7367;533;986;494;0;596;0;206;352;26;12;
110702: Bucelas;Total;H;2021;2266;256;1360;531;335;494;396;24;230;2;16;172;31;9;
;;M;2021;2536;345;1302;680;271;351;494;18;377;0;26;271;71;9;
;Menos de 15 anos;H;2021;319;200;119;49;63;7;0;0;0;0;0;0;0;0;
;;M;2021;337;205;132;66;55;11;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;118;1;92;1;21;70;24;1;0;0;0;0;0;0;
;;M;2021;97;1;67;0;14;53;29;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;120;2;44;1;4;39;57;2;15;1;0;13;1;0;
;;M;2021;131;0;27;1;1;25;65;2;37;0;0;29;8;0;
;25 - 29 anos;H;2021;100;3;26;0;0;26;49;2;20;0;0;16;4;0;
;;M;2021;113;2;22;0;5;17;41;3;45;0;0;30;15;0;
;30 - 34 anos;H;2021;120;0;52;2;8;42;39;5;24;0;1;17;6;0;
;;M;2021;131;2;39;1;12;26;39;3;48;0;2;33;13;0;
;35 - 39 anos;H;2021;125;3;58;3;11;44;31;4;29;0;1;25;3;0;
;;M;2021;151;2;35;2;7;26;50;3;61;0;0;40;19;2;
;40 - 44 anos;H;2021;181;3;86;8;26;52;51;6;35;1;1;27;6;0;
;;M;2021;172;3;44;5;14;25;62;4;59;0;3;45;10;1;
;45 - 49 anos;H;2021;166;2;104;16;43;45;40;4;16;0;0;15;1;0;
;;M;2021;195;0;75;13;28;34;70;2;48;0;7;39;1;1;
;50 - 54 anos;H;2021;171;5;112;23;45;44;31;0;23;0;1;16;5;1;
;;M;2021;155;0;80;14;39;27;45;1;29;0;2;24;2;1;
;55 - 59 anos;H;2021;155;1;111;36;43;32;26;0;17;0;2;12;3;0;
;;M;2021;166;4;112;49;38;25;36;0;14;0;1;12;1;0;
;60 - 64 anos;H;2021;152;3;115;60;28;27;19;0;15;0;4;8;2;1;
;;M;2021;152;5;115;72;23;20;20;0;12;0;3;6;0;3;
;65 - 69 anos;H;2021;141;3;107;76;11;20;18;0;13;0;4;7;0;2;
;;M;2021;165;10;126;98;12;16;18;0;11;0;4;5;2;0;
;70 - 74 anos;H;2021;145;3;124;93;10;21;4;0;14;0;1;10;0;3;
;;M;2021;171;13;144;121;8;15;7;0;7;0;2;4;0;1;
;75 ou mais anos;H;2021;253;27;210;163;22;25;7;0;9;0;1;6;0;2;
;;M;2021;400;98;284;238;15;31;12;0;6;0;2;4;0;0;
110705: Fanhões;Total;H;2021;1270;135;716;297;195;224;268;20;131;2;9;91;29;0;
;;M;2021;1369;170;699;347;136;216;275;17;208;1;15;154;35;3;
;Menos de 15 anos;H;2021;192;112;80;33;42;5;0;0;0;0;0;0;0;0;
;;M;2021;178;107;71;36;27;8;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;62;1;41;0;5;36;20;0;0;0;0;0;0;0;
;;M;2021;68;0;45;0;10;35;23;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;60;0;11;0;2;9;33;2;14;1;0;11;2;0;
;;M;2021;72;1;14;1;1;12;43;1;13;1;0;10;2;0;
;25 - 29 anos;H;2021;78;1;16;1;3;12;41;6;14;0;0;10;4;0;
;;M;2021;65;0;8;0;1;7;27;4;26;0;0;20;6;0;
;30 - 34 anos;H;2021;63;1;24;2;2;20;22;2;14;1;0;8;5;0;
;;M;2021;64;1;18;1;3;14;21;1;23;0;0;13;10;0;
;35 - 39 anos;H;2021;79;0;31;3;12;16;27;4;17;0;1;13;3;0;
;;M;2021;87;0;29;2;13;14;26;1;31;0;2;26;2;1;
;40 - 44 anos;H;2021;96;2;42;1;16;25;29;4;19;0;1;13;5;0;
;;M;2021;113;3;29;6;4;19;36;4;41;0;1;33;6;1;
;45 - 49 anos;H;2021;103;0;53;3;25;25;33;2;15;0;2;11;2;0;
;;M;2021;93;0;28;7;8;13;30;5;30;0;1;26;3;0;
;50 - 54 anos;H;2021;96;2;60;17;28;15;23;0;11;0;2;8;1;0;
;;M;2021;103;0;53;8;18;27;28;1;21;0;7;13;1;0;
;55 - 59 anos;H;2021;107;2;84;26;38;20;17;0;4;0;0;2;2;0;
;;M;2021;98;2;72;27;21;24;15;0;9;0;1;6;2;0;
;60 - 64 anos;H;2021;81;2;57;31;10;16;11;0;11;0;1;7;3;0;
;;M;2021;92;1;71;42;12;17;15;0;5;0;2;1;2;0;
;65 - 69 anos;H;2021;76;1;64;49;4;11;5;0;6;0;1;3;2;0;
;;M;2021;81;3;65;48;8;9;8;0;5;0;0;4;1;0;
;70 - 74 anos;H;2021;65;1;56;45;1;10;5;0;3;0;0;3;0;0;
;;M;2021;74;3;68;52;6;10;1;0;2;0;0;1;0;1;
;75 ou mais anos;H;2021;112;10;97;86;7;4;2;0;3;0;1;2;0;0;
;;M;2021;181;49;128;117;4;7;2;0;2;0;1;1;0;0;
110707: Loures;Total;H;2021;14257;1895;6267;2286;1497;2484;3362;218;2515;37;175;1668;565;70;
;;M;2021;15997;2185;6366;2763;1270;2333;3532;143;3771;15;234;2664;803;55;
;Menos de 15 anos;H;2021;2420;1572;848;370;430;48;0;0;0;0;0;0;0;0;
;;M;2021;2297;1494;803;333;412;58;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;788;7;519;2;76;441;259;2;1;1;0;0;0;0;
;;M;2021;785;3;495;4;55;436;286;0;1;1;0;0;0;0;
;20 - 24 anos;H;2021;825;9;148;6;27;115;463;21;184;12;0;146;26;0;
;;M;2021;786;9;104;5;17;82;433;15;225;6;0;185;34;0;
;25 - 29 anos;H;2021;780;26;176;11;23;142;279;22;277;7;0;160;108;2;
;;M;2021;841;11;126;5;15;106;258;21;425;3;0;249;170;3;
;30 - 34 anos;H;2021;908;15;202;10;38;154;308;39;344;8;0;194;137;5;
;;M;2021;924;12;139;15;24;100;273;20;480;3;1;258;213;5;
;35 - 39 anos;H;2021;1075;12;288;26;57;205;352;46;377;8;14;243;101;11;
;;M;2021;1190;24;192;14;41;137;307;25;642;0;21;456;153;12;
;40 - 44 anos;H;2021;1181;17;360;34;92;234;371;36;397;1;27;302;56;11;
;;M;2021;1288;20;252;26;54;172;394;28;594;2;24;467;86;15;
;45 - 49 anos;H;2021;1136;19;441;63;151;227;378;26;272;0;25;190;52;5;
;;M;2021;1266;26;339;61;86;192;428;16;457;0;47;353;51;6;
;50 - 54 anos;H;2021;948;14;470;113;150;207;275;22;167;0;19;114;27;7;
;;M;2021;1132;27;427;99;123;205;354;15;309;0;33;236;32;8;
;55 - 59 anos;H;2021;853;14;458;132;141;185;250;4;127;0;12;80;26;9;
;;M;2021;1074;30;511;172;114;225;298;3;232;0;17;179;31;5;
;60 - 64 anos;H;2021;838;36;484;215;110;159;196;0;122;0;23;78;14;7;
;;M;2021;1024;50;551;245;114;192;245;0;178;0;25;135;17;1;
;65 - 69 anos;H;2021;733;24;517;326;80;111;96;0;96;0;20;59;13;4;
;;M;2021;859;50;596;378;68;150;122;0;91;0;19;60;12;0;
;70 - 74 anos;H;2021;671;33;512;351;61;100;53;0;73;0;16;50;2;5;
;;M;2021;764;42;600;415;62;123;54;0;68;0;18;48;2;0;
;75 ou mais anos;H;2021;1101;97;844;627;61;156;82;0;78;0;19;52;3;4;
;;M;2021;1767;387;1231;991;85;155;80;0;69;0;29;38;2;0;
110708: Lousa;Total;H;2021;1542;177;897;371;222;304;297;20;151;1;7;106;30;7;
;;M;2021;1674;238;860;444;177;239;331;17;228;3;8;157;53;7;
;Menos de 15 anos;H;2021;204;126;78;31;39;8;0;0;0;0;0;0;0;0;
;;M;2021;226;141;85;31;49;5;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;88;0;67;0;11;56;21;0;0;0;0;0;0;0;
;;M;2021;65;0;46;0;7;39;19;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;83;0;28;0;4;24;38;2;15;1;0;12;2;0;
;;M;2021;69;1;10;1;2;7;40;1;17;1;0;11;5;0;
;25 - 29 anos;H;2021;86;4;21;2;2;17;39;3;19;0;0;12;7;0;
;;M;2021;84;0;20;1;4;15;32;4;28;0;0;18;10;0;
;30 - 34 anos;H;2021;73;1;27;2;10;15;26;2;17;0;0;10;6;1;
;;M;2021;78;1;20;1;4;15;25;2;30;1;0;16;11;2;
;35 - 39 anos;H;2021;96;1;38;5;5;28;39;2;16;0;0;13;3;0;
;;M;2021;103;1;23;1;6;16;36;3;40;1;0;32;6;1;
;40 - 44 anos;H;2021;120;2;58;3;23;32;35;4;21;0;1;17;2;1;
;;M;2021;107;1;24;2;6;16;33;4;45;0;3;30;11;1;
;45 - 49 anos;H;2021;106;0;55;6;21;28;29;4;18;0;1;14;3;0;
;;M;2021;120;2;44;7;13;24;42;2;30;0;2;25;3;0;
;50 - 54 anos;H;2021;116;4;76;19;32;25;20;3;13;0;1;10;1;1;
;;M;2021;129;2;77;17;27;33;41;1;8;0;1;5;2;0;
;55 - 59 anos;H;2021;115;6;81;33;28;20;19;0;9;0;1;7;1;0;
;;M;2021;112;4;71;29;20;22;24;0;13;0;2;7;3;1;
;60 - 64 anos;H;2021;102;3;77;33;21;23;15;0;7;0;1;3;3;0;
;;M;2021;131;4;100;58;18;24;22;0;5;0;0;4;1;0;
;65 - 69 anos;H;2021;106;5;83;63;11;9;7;0;11;0;1;5;2;3;
;;M;2021;105;8;85;72;7;6;5;0;7;0;0;7;0;0;
;70 - 74 anos;H;2021;96;7;82;65;9;8;4;0;3;0;1;1;0;1;
;;M;2021;109;11;90;69;9;12;5;0;3;0;0;2;0;1;
;75 ou mais anos;H;2021;151;18;126;109;6;11;5;0;2;0;0;2;0;0;
;;M;2021;236;62;165;155;5;5;7;0;2;0;0;0;1;1;
110731: União das freguesias de Camarate, Unhos e Apelação;Total;H;2021;15860;2477;8983;3600;2219;3164;3230;208;962;35;63;653;187;24;
;;M;2021;17645;2990;9420;4371;2082;2967;3546;175;1514;19;103;1108;262;22;
;Menos de 15 anos;H;2021;2786;1821;965;439;446;80;0;0;0;0;0;0;0;0;
;;M;2021;2659;1740;919;401;463;55;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;981;12;722;11;189;522;242;2;3;3;0;0;0;0;
;;M;2021;888;5;589;16;108;465;290;2;2;2;0;0;0;0;
;20 - 24 anos;H;2021;1002;17;315;23;69;223;546;25;99;9;0;72;18;0;
;;M;2021;1030;22;257;22;42;193;558;27;166;13;0;142;10;1;
;25 - 29 anos;H;2021;1054;28;372;41;77;254;439;46;169;12;0;107;50;0;
;;M;2021;1113;32;315;22;78;215;483;43;240;1;0;177;61;1;
;30 - 34 anos;H;2021;1111;31;433;51;108;274;438;46;163;5;2;112;38;6;
;;M;2021;1188;43;407;34;95;278;424;35;279;2;1;185;88;3;
;35 - 39 anos;H;2021;1026;31;487;47;133;307;348;40;120;6;9;77;26;2;
;;M;2021;1152;44;471;44;119;308;372;31;234;1;12;177;40;4;
;40 - 44 anos;H;2021;999;33;551;76;163;312;282;24;109;0;13;75;16;5;
;;M;2021;1130;44;521;93;132;296;375;20;170;0;18;128;23;1;
;45 - 49 anos;H;2021;995;39;596;135;190;271;264;11;85;0;12;59;12;2;
;;M;2021;1121;52;600;144;190;266;307;10;152;0;19;111;17;5;
;50 - 54 anos;H;2021;1003;46;665;178;255;232;218;11;63;0;6;47;9;1;
;;M;2021;1081;63;699;241;244;214;226;7;86;0;17;60;7;2;
;55 - 59 anos;H;2021;962;60;707;300;192;215;145;3;47;0;8;31;7;1;
;;M;2021;1143;57;812;367;230;215;216;0;58;0;9;41;4;4;
;60 - 64 anos;H;2021;969;77;723;376;158;189;136;0;33;0;2;23;5;3;
;;M;2021;1168;97;877;491;187;199;146;0;48;0;8;32;7;1;
;65 - 69 anos;H;2021;917;82;719;496;112;111;90;0;26;0;2;20;3;1;
;;M;2021;1102;138;846;632;93;121;88;0;30;0;6;21;3;0;
;70 - 74 anos;H;2021;787;63;675;522;64;89;36;0;13;0;3;9;1;0;
;;M;2021;992;110;822;703;50;69;33;0;27;0;7;19;1;0;
;75 ou mais anos;H;2021;1268;137;1053;905;63;85;46;0;32;0;6;21;2;3;
;;M;2021;1878;543;1285;1161;51;73;28;0;22;0;6;15;1;0;
